5;13;13;28
COFFRERONS;DEMONTIEZ;RENDRAS;ENTRELACA;CONSULTENT;NOTRE;POURRI;VERIN;NO;ETATS;INPUTS;SAKE;IFS;EPI;BAL;TET;APOTRE;EUES;FCO;IF;AFFLEURA;NE;CALE;OSEES;RAB;ES;WOK;SE;
U;K;F;U;Z;P;H;F;Q;H;K;A;Q;
W;N;W;G;L;E;E;Z;C;F;C;F;X;
D;K;O;P;R;S;I;W;R;A;J;C;Z;
Z;I;K;T;G;E;C;T;L;U;L;O;A;
E;R;O;B;R;U;T;E;N;N;Z;F;B;
I;P;E;A;V;E;R;I;N;O;F;F;S;
A;F;I;L;T;T;E;R;D;L;M;R;X;
H;N;C;A;N;R;N;R;E;S;T;E;O;
W;N;T;E;E;E;D;U;S;B;A;R;D;
Q;S;S;E;V;K;R;O;X;E;H;O;H;
E;F;J;A;Q;A;A;P;C;Y;E;N;I;
I;N;P;U;T;S;S;Y;Y;M;F;S;V;
K;Q;C;O;N;S;U;L;T;E;N;T;O;
